headline,url,sentiment_score,sentiment_label,published_at,source
Hamas ‘loses contact’ with group holding captive after Israeli strike,https://www.aljazeera.com/news/liveblog/2025/4/15/live-israel-hamas-say-negotiations-underway-as-israel-attacks-gaza-tents,-0.128,neutral,,
Trump issues Harvard tax threat after university defies demands,https://www.aljazeera.com/news/liveblog/2025/4/15/trump-live-china-accuses-us-spies-of-cyberattacks-as-tariff-war-flares,-0.5267,negative,,
LIVE: Borussia Dortmund vs Barcelona – UEFA Champions League quarterfinal,https://www.aljazeera.com/sports/liveblog/2025/4/15/live-borussia-dortmund-vs-barcelona-uefa-champions-league-quarterfinal,0.5267,positive,,
Harvard’s $2.3bn gamble: What Trump demanded; how the university resisted,https://www.aljazeera.com/news/2025/4/15/harvards-2-3bn-gamble-what-trump-demanded-how-the-university-resisted,-0.2263,negative,,
Trump-China trade war: Which US companies could be worst hit,https://www.aljazeera.com/news/2025/4/15/trump-china-trade-war-which-us-companies-could-be-worst-hit,-0.8402,negative,,
"Iran ‘must stop and eliminate’ nuclear enrichment, says US envoy Witkoff",https://www.aljazeera.com/news/2025/4/15/iran-must-stop-and-eliminate-nuclear-enrichment-says-us-envoy-witkoff,-0.296,negative,,
Russian spy chief threatens Poland and Baltic States,https://www.aljazeera.com/news/2025/4/15/russian-spy-chief-threatens-poland-and-baltic-states,-0.3818,negative,,
Did US courts back Kilmar Abrego Garcia’s El Salvador deportation?,https://www.aljazeera.com/news/2025/4/15/did-us-courts-back-kilmar-abrego-garcias-el-salvador-deportation,0.0,neutral,,
Russia’s Putin open to Ukraine peace deal: US envoy,https://www.aljazeera.com/news/2025/4/15/us-envoy-witkoff-says-putin-open-to-permanent-peace-with-ukraine,0.5423,positive,,
"Why bonds, not stocks, could predict the next economic crisis in the US",https://www.aljazeera.com/economy/2025/4/15/why-bonds-not-stocks-could-predict-the-next-economic-crisis-in-the-us,-0.6249,negative,,
Alexandria Ocasio-Cortez Heckled at New York City Event,https://www.newsweek.com/alexandria-ocasio-cortez-heckled-new-york-city-event-2067705,0.0,neutral,2025-05-03T20:26:28Z,Newsweek
Houthis maintain pressure on Israel as US launches more strikes on Yemen,https://www.aljazeera.com/news/2025/5/3/houthis-maintain-pressure-on-israel-as-us-launches-more-strikes-on-yemen,-0.6115,negative,2025-05-03T19:40:14Z,Al Jazeera English
"Yemen appoints new prime minister after cabinet resigned, council says",https://www.jpost.com/breaking-news/article-852483,-0.25,negative,2025-05-03T18:23:37Z,The Jerusalem Post
Pentagon Salivates Over ‘Expensive’ Weapons While China Races Into Future With Iron Grip Over Cheap Drone Tech,https://dailycaller.com/2025/05/03/pentagon-expensive-weapons-china-iron-grip-drone-tech/,-0.4404,negative,2025-05-03T14:34:18Z,The Daily Caller
FO° Podcasts: Iran’s Axis of Resistance Is Now in Shambles. What Next?,https://www.fairobserver.com/podcasts/fo-podcasts-irans-axis-of-resistance-is-now-in-shambles-what-next/,0.0,neutral,2025-05-03T14:00:34Z,Fair Observer
